spec_index,tb,vm_298K,C_number,H_number,S_number,N_number,O_number,mw,aromatic_ring_number,naphthenic_ring_number,thiophene_ring_number,total_ring_number,cetane_number_Beta,cetane_number,tm,gasoline_piona_type
251,587.3431373,322.3,18,36,0,0,0,252.47844,0,0,0,0,0.3597,90,262.1598944,3
252,599.8880719,338.8,19,38,0,0,0,266.50502,0,0,0,0,0.3597,90,268.9167673,3
253,611.8206757,355.3,20,40,0,0,0,280.5316,0,0,0,0,0.3597,90,275.3698832,3
254,623.197954,371.8,21,42,0,0,0,294.55818,0,0,0,0,0.3597,90,281.5453822,3
255,634.0693044,388.3,22,44,0,0,0,308.58476,0,0,0,0,0.3597,90,287.4661688,3
256,644.4778133,404.8,23,46,0,0,0,322.61134,0,0,0,0,0.3597,90,293.1524248,3
257,654.461287,421.3,24,48,0,0,0,336.63792,0,0,0,0,0.3597,90,298.6220246,3
258,664.0530808,437.8,25,50,0,0,0,350.6645,0,0,0,0,0.3597,90,303.890874,3
259,673.2827714,454.3,26,52,0,0,0,364.69108,0,0,0,0,0.3597,90,308.9731891,3
260,682.1767068,470.8,27,54,0,0,0,378.71766,0,0,0,0,0.3597,90,313.8817272,3
261,690.7584601,487.3,28,56,0,0,0,392.74424,0,0,0,0,0.3597,90,318.6279804,3
262,699.0492057,503.8,29,58,0,0,0,406.77082,0,0,0,0,0.3597,90,323.2223368,3
263,522.0298174,271.9,15,30,0,0,0,210.3987,0,0,0,0,0.3597,83,220.4326582,3
264,538.2905984,288.4,16,32,0,0,0,224.42528,0,0,0,0,0.3597,86.5,229.3986231,3
265,553.5371089,304.9,17,34,0,0,0,238.45186,0,0,0,0,0.3597,87,237.8374247,3
266,567.888485,321.4,18,36,0,0,0,252.47844,0,0,0,0,0.3597,90,245.807626,3
267,581.4440314,337.9,19,38,0,0,0,266.50502,0,0,0,0,0.3597,90,253.3585425,3
268,594.2873925,354.4,20,40,0,0,0,280.5316,0,0,0,0,0.3597,90,260.5320924,3
269,606.4896819,370.9,21,42,0,0,0,294.55818,0,0,0,0,0.3597,90,267.364206,3
270,618.111866,387.4,22,44,0,0,0,308.58476,0,0,0,0,0.3597,90,273.8859143,3
271,629.206608,403.9,23,46,0,0,0,322.61134,0,0,0,0,0.3597,90,280.1242011,3
272,639.8197099,420.4,24,48,0,0,0,336.63792,0,0,0,0,0.3597,90,286.102678,3
273,649.9912551,436.9,25,50,0,0,0,350.6645,0,0,0,0,0.3597,90,291.8421234,3
274,659.7565226,453.4,26,52,0,0,0,364.69108,0,0,0,0,0.3597,90,297.3609185,3
275,669.1467251,469.9,27,54,0,0,0,378.71766,0,0,0,0,0.3597,90,302.6754028,3
276,678.1896113,486.4,28,56,0,0,0,392.74424,0,0,0,0,0.3597,90,307.8001654,3
277,686.9099598,502.9,29,58,0,0,0,406.77082,0,0,0,0,0.3597,90,312.7482863,3
278,695.3299887,519.4,30,60,0,0,0,420.7974,0,0,0,0,0.3597,90,317.531538,3
279,513.742921,225.5,13,26,0,0,0,182.34554,0,1,0,1,0.0727,83.7,232.7862334,4
280,530.5454077,242,14,28,0,0,0,196.37212,0,1,0,1,0.0727,90,241.033793,4
281,546.267143,258.5,15,30,0,0,0,210.3987,0,1,0,1,0.0727,90,248.8331917,4
282,561.0387946,275,16,32,0,0,0,224.42528,0,1,0,1,0.0727,90,256.2306344,4
283,574.9686772,291.5,17,34,0,0,0,238.45186,0,1,0,1,0.0727,90,263.2655294,4
284,588.1475777,308,18,36,0,0,0,252.47844,0,1,0,1,0.0727,90,269.9717595,4
285,600.652344,324.5,19,38,0,0,0,266.50502,0,1,0,1,0.0727,90,276.3786687,4
286,612.5486003,341,20,40,0,0,0,280.5316,0,1,0,1,0.0727,90,282.5118387,4
287,623.8928314,357.5,21,42,0,0,0,294.55818,0,1,0,1,0.0727,90,288.3937055,4
288,634.7340049,374,22,44,0,0,0,308.58476,0,1,0,1,0.0727,90,294.0440551,4
289,645.1148489,390.5,23,46,0,0,0,322.61134,0,1,0,1,0.0727,90,299.4804249,4
290,655.0728684,407,24,48,0,0,0,336.63792,0,1,0,1,0.0727,90,304.7184322,4
291,664.6411641,423.5,25,50,0,0,0,350.6645,0,1,0,1,0.0727,90,309.7720446,4
